Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;64.71235359;External/WPB-ICPR/CTS
ARE;United Arab Emirates;Asia;Western Asia;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;216.5544736;CTS/External
ARE;United Arab Emirates;Asia;Western Asia;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;211.1818258;CTS/External
ARE;United Arab Emirates;Asia;Western Asia;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;109.8048929;CTS/External
ARE;United Arab Emirates;Asia;Western Asia;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;107.4647999;CTS/External
ARE;United Arab Emirates;Asia;Western Asia;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;108.2746207;CTS/External
ARE;United Arab Emirates;Asia;Western Asia;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;106.63996;CTS/External
ARE;United Arab Emirates;Asia;Western Asia;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;104.9676983;CTS/External
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;142.5014998;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;137.4399858;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;132.1857662;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;136.0698195;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;141.7960711;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;144.8243364;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;147.1158491;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;149.1144047;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;152.3555508;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;161.9700664;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;168.7575112;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;178.0918051;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;196.482962;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;216.2410127;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;226.9528094;CTS
ARG;Argentina;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;212.0817615;CTS
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2003;Rate per 100,000 population;94.63415087;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;95.17731607;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;90.90110161;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;97.1165544;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;105.1280171;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;121.7148763;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;137.2877753;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;153.3722076;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;157.5506095;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;164.8961823;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;135.3882343;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;133.2233211;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;132.3849562;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;130.545235;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;120.0765148;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;76.76825304;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;75.09142152;Country Economy/CTS/SDG
ARM;Armenia;Asia;Western Asia;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;66.38017787;Country Economy/CTS/SDG
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;432.2766571;WPB-ICPR
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;355.2758463;WPB-ICPR
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;229.6051487;WPB-ICPR
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;335.2114685;WPB-ICPR
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;344.8957229;WPB-ICPR
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;360.2731623;WPB-ICPR
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;326.5218249;WPB-ICPR
ASM;American Samoa;Oceania;Polynesia;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;347.0162001;WPB-ICPR
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;237.7188943;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;238.1478481;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;233.3313184;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;268.1687238;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;335.1130296;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;399.3053635;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;405.4201727;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;357.5981504;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;392.5095218;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;319.6227404;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;316.7777986;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;536.4773722;WPB-ICPR/Country Economy/CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;487.0925578;WPB-ICPR/Country Economy/CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2003;Rate per 100,000 population;120.030597;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;121.5866232;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;133.7901437;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;133.1033659;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;138.5325044;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;137.6232488;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;129.1418822;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;128.2791777;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;132.3290322;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;147.2468754;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;154.7017718;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;163.9099672;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;171.318498;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;176.511085;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;174.5175216;CTS
AUS;Australia;Oceania;Australia and New Zealand;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;164.4046888;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;108.5094896;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;108.6858785;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;108.3989848;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;98.87880214;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;104.0052036;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;104.7925997;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;105.9206121;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;103.5610657;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;103.5741254;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;100.8913891;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;98.53319411;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;100.3639269;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;103.0548341;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;101.3053109;CTS
AUT;Austria;Europe;Western Europe;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;94.24409309;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;219.0097738;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;208.9918617;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;216.1722973;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;224.1915253;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;237.8860987;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;231.3997505;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;243.2447842;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;224.6378499;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;224.3141806;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;220.2234582;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;236.9756994;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;239.4299695;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;236.8537485;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;219.7187668;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;208.72399;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;213.3506917;CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2003;Rate per 100,000 population;114.5291013;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;105.5290136;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;97.31349842;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;108.7955204;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;106.1149858;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;122.1618626;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;128.7977688;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;113.2255199;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;116.449288;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;68.88390126;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;81.59070855;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;76.8464922;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;90.82646771;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;96.5579526;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;93.22056597;External/CTS
BDI;Burundi;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;98.31433905;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;88.2146556;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;88.88880461;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;90.7294554;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;91.45761054;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;96.54681277;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;101.1424533;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;108.7142846;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;104.8815972;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;97.39605956;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;97.50399118;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;91.69200872;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;89.36456318;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;91.50447782;External/CTS
BEL;Belgium;Europe;Western Europe;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;89.5715613;External/CTS
