Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Denmark;DNK;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.48000001907349
Dominican Republic;DOM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.42999982833862
Algeria;DZA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;29.7700004577637
East Asia & Pacific (excluding high income);EAP;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.40541682455795
Early-demographic dividend;EAR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.23529618688497
East Asia & Pacific;EAS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.5354802917635
Europe & Central Asia (excluding high income);ECA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.9662082778897
Europe & Central Asia;ECS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;9.81737188545362
Ecuador;ECU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.80000019073486
Egypt; Arab Rep.;EGY;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;7.94999980926514
Euro area;EMU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;9.42675132471271
Eritrea;ERI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.8769998550415
Spain;ESP;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;13.789999961853
Estonia;EST;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;13.3599996566772
Ethiopia;ETH;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.5090000629425
European Union;EUU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;9.82753574350314
Fragile and conflict affected situations;FCS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.14037901096069
Finland;FIN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;11.1300001144409
Fiji;FJI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.99200010299683
France;FRA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.2200002670288
Faroe Islands;FRO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Micronesia; Fed. Sts.;FSM;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;
Gabon;GAB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;17.3430004119873
United Kingdom;GBR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.55999994277954
Georgia;GEO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.8199996948242
Ghana;GHA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.460000038147
Gibraltar;GIB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Guinea;GIN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.55299997329712
Gambia; The;GMB;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;9.04500007629395
Guinea-Bissau;GNB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.24700021743774
Equatorial Guinea;GNQ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;8.45499992370605
Greece;GRC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;11.25
Grenada;GRD;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Greenland;GRL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Guatemala;GTM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.72499990463257
Guam;GUM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;15.3199996948242
Guyana;GUY;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;11.8579998016357
High income;HIC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.53176872506256
Hong Kong SAR; China;HKG;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;6.25
Honduras;HND;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.83899998664856
Heavily indebted poor countries (HIPC);HPC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.21542309380867
Croatia;HRV;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;16.0599994659424
Haiti;HTI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;8.4040002822876
Hungary;HUN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.55999994277954
IBRD only;IBD;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.0160759532872
IDA & IBRD total;IBT;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.71858197105453
IDA total;IDA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.36483689131833
IDA blend;IDB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.8622318927312
Indonesia;IDN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.07999992370605
IDA only;IDX;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.58799066057171
Isle of Man;IMN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
India;IND;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.56099987030029
Not classified;INX;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Ireland;IRL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.32000017166138
Iran; Islamic Rep.;IRN;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;11.0240001678467
Iraq;IRQ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;8.72700023651123
Iceland;ISL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;1.94000005722046
Israel;ISR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;11.1000003814697
Italy;ITA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.8400001525879
Jamaica;JAM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;15.539999961853
Jordan;JOR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;13.6999998092651
Japan;JPN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.75
Kazakhstan;KAZ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.75
Kenya;KEN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.02099990844727
Kyrgyz Republic;KGZ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.53999996185303
Cambodia;KHM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;0.967999994754791
Kiribati;KIR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
St. Kitts and Nevis;KNA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Korea; Rep.;KOR;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;6.34000015258789
Kuwait;KWT;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;0.800000011920929
Latin America & Caribbean (excluding high income);LAC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;8.69528798058758
Lao PDR;LAO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.06299996376038
Lebanon;LBN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;8.3149995803833
Liberia;LBR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.07999992370605
Libya;LBY;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;19.6720008850098
St. Lucia;LCA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;16.4899997711182
Latin America & Caribbean;LCN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;9.00815022355413
Least developed countries: UN classification;LDC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.18098415881169
Low income;LIC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.19839763496888
Liechtenstein;LIE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Sri Lanka;LKA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.73999977111816
Lower middle income;LMC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.62896352901474
Low & middle income;LMY;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.54495059147288
Lesotho;LSO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;35.4570007324219
Late-demographic dividend;LTE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.17828044281277
Lithuania;LTU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;15.9300003051758
Luxembourg;LUX;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.34999990463257
Latvia;LVA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;14.210000038147
Macao SAR; China;MAC;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;6.34999990463257
St. Martin (French part);MAF;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Morocco;MAR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;13.5799999237061
Monaco;MCO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Moldova;MDA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;8.46000003814697
Madagascar;MDG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.80000019073486
Maldives;MDV;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;1.97000002861023
Middle East & North Africa;MEA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.0380415887432
Mexico;MEX;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.65000009536743
Marshall Islands;MHL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Middle income;MIC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.57098642458936
North Macedonia;MKD;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;32.2000007629395
Mali;MLI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.6269998550415
Malta;MLT;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.32000017166138
Myanmar;MMR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;0.651000022888184
Middle East & North Africa (excluding high income);MNA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;13.1811415642254
Montenegro;MNE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;28.5879993438721
Mongolia;MNG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.22700023651123
Northern Mariana Islands;MNP;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Mozambique;MOZ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.8529999256134
Mauritania;MRT;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;9.84899997711182
Mauritius;MUS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;9.17700004577637
Malawi;MWI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.78800010681152
Malaysia;MYS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3
North America;NAC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.27538813518091
Namibia;NAM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;20.2999992370605
New Caledonia;NCL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;17.4780006408691
Niger;NER;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;1.49000000953674
Nigeria;NGA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.9539999961853
Nicaragua;NIC;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.35400009155273
Netherlands;NLD;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.73000001907349
Norway;NOR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.46000003814697
Nepal;NPL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;1.85500001907349
Nauru;NRU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
New Zealand;NZL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.13000011444092
OECD members;OED;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.77639265242576
Oman;OMN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.0939998626709
Other small states;OSS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;13.6616581513321
Pakistan;PAK;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;0.578999996185303
Panama;PAN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.81399989128113
Peru;PER;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.88399982452393
Philippines;PHL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.65300011634827
Palau;PLW;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Papua New Guinea;PNG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.92000007629395
Poland;POL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;16.3099994659424
Pre-demographic dividend;PRE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.05955041178713
Puerto Rico;PRI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.0799999237061
Korea; Dem. People's Rep.;PRK;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;2.96700000762939
Portugal;PRT;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.80999994277954
Paraguay;PRY;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.6100001335144
West Bank and Gaza;PSE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.6300001144409
Pacific island small states;PSS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.1795323905589
Post-demographic dividend;PST;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.53134334197715
French Polynesia;PYF;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;11.6719999313354
Qatar;QAT;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;0.842000007629395
Romania;ROU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.96999979019165
Russian Federation;RUS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.5799999237061
Rwanda;RWA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;0.787000000476837
South Asia;SAS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.93333688234243
Saudi Arabia;SAU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.57000017166138
Sudan;SDN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;15.2299995422363
Senegal;SEN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.60599994659424
Singapore;SGP;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.70000004768372
Solomon Islands;SLB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.02600002288818
Sierra Leone;SLE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.43400001525879
El Salvador;SLV;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.96000003814697
San Marino;SMR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Somalia;SOM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;19.0520000457764
Serbia;SRB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.6000003814697
Sub-Saharan Africa (excluding high income);SSA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.66825502046176
South Sudan;SSD;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.0570001602173
Sub-Saharan Africa;SSF;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.66825502046176
Small states;SST;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.9681205368223
Sao Tome and Principe;STP;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;14.3999996185303
Suriname;SUR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.7379999160767
Slovak Republic;SVK;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;19.0599994659424
Slovenia;SVN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.92000007629395
Sweden;SWE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.46999979019165
Eswatini;SWZ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;24.2439994812012
